0.00 0.00 0.00
0.10 0.00 0.00
0.20 0.00 0.00
0.30 0.00 0.00
0.40 0.00 0.00
0.50 0.00 0.00
0.60 0.00 0.00
0.70 0.00 0.00
0.80 0.00 0.00
0.90 0.00 0.00
1.00 0.00 0.00
1.10 0.00 0.00
1.20 0.00 0.00
1.30 0.00 0.00
1.40 0.00 0.00
1.50 0.00 0.00
1.60 0.00 0.00
1.70 0.00 0.00
1.80 0.00 0.00
1.90 0.00 0.00
2.00 0.00 0.00
2.10 0.00 0.00
2.20 0.00 0.00
2.30 0.00 0.00
2.40 0.00 0.00
2.50 0.00 0.00
2.60 0.00 0.00
2.70 0.00 0.00
2.80 0.00 0.00
2.90 0.00 0.00
3.00 0.00 0.00
3.10 0.00 0.00
3.20 0.00 0.00
3.30 0.00 0.00
3.40 0.00 0.00
3.50 0.00 0.00
3.60 0.00 0.00
3.70 0.00 0.00
3.80 0.00 0.00
3.90 0.00 0.00
4.00 0.00 0.00
4.10 0.00 0.00
4.20 0.00 0.00
4.30 0.00 0.00
4.40 0.00 0.00
4.50 0.00 0.00
4.60 0.00 0.00
4.70 0.00 0.00
4.80 0.00 0.00
4.90 0.00 0.00
5.00 0.00 0.00
5.10 0.00 0.00
5.20 0.00 0.00
5.30 0.00 0.00
5.40 0.00 0.00
5.50 0.00 0.00
5.60 0.00 0.00
5.70 0.00 0.00
5.80 0.00 0.00
5.90 0.00 0.00
6.00 0.00 0.00
6.10 0.00 0.00
6.20 0.00 0.00
6.30 0.00 0.00
6.40 0.00 0.00
6.50 0.00 0.00
6.60 0.00 0.00
6.70 0.00 0.00
6.80 0.00 0.00
6.90 0.00 0.00
7.00 0.00 0.00
7.10 0.00 0.00
7.20 0.00 0.00
7.30 0.00 0.00
7.40 0.00 0.00
7.50 0.00 0.00
7.60 0.00 0.00
7.70 0.00 0.00
7.80 0.00 0.00
7.90 0.00 0.00
8.00 0.00 0.00
8.10 0.00 0.00
8.20 0.00 0.00
8.30 0.00 0.00
8.40 0.00 0.00
